Season,Team/Season,Team,Team ID,Team ID/Season,Conference,Conference/Season,Conference 5=> rec,Conference OR,Conference SRS,Conference Age,pre playoff odds,pre playoff odds rank,pre season odds,champion,champion share,make playoffs,top 3 conference,rk conference,overall record,over500 rec,over600 rec,20 =< wins,5 => rec,sum coach playoff games,sum coy shares,sum playoff games,sum champion,sum champion share,sum mvp shares,sum all defense,sum all nba,sum dpoy shares,sum smoy shares,sum mip shares,sum all stars,sum player L1Y cs,sum player L3Y cs,sum player L5Y cs,sum player L8Y cs,sum player L10Y cs,sum L3Y mvp shares ,sum L5Y  mvp shares,sum franchise L1Y cs,sum franchise L3Y cs,sum franchise L5Y cs,sum franchise L8Y cs,sum franchise L10Y cs,team_rating_custom,max_player_rating_custom,curr/past mvp or past fmvp,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four Factors|eFG%,Offense Four Factors|TOV%,Offense Four Factors|ORB%,Offense Four Factors|FT/FGA,Defense Four Factors|eFG%,Defense Four Factors|TOV%,Defense Four Factors|DRB%,Defense Four Factors|FT/FGA
2024,Utah Jazz 2024,Utah Jazz,20,20 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,999999,0,25000,0,0,0,0,12,0.37804878,0.263157895,0.260869565,4,0.470588235,0,0.014,108,1,5.75,0,0,0,0,0.878,0.882,1,1,3.125,4.3125,4.3125,4.3125,0,0,0,0.5,0.75,1.3125,1.3125,6.163,39.36,0,42,89.9,0.467,12.9,36.5,0.354,29.1,53.4,0.544,18.8,22.6,0.83,12.2,33.2,45.5,27.2,6.5,5.6,15.7,18.6,115.7,44.6,91.6,0.487,14.8,37.4,0.395,29.8,54.1,0.55,16.6,21.6,0.771,11,31.3,42.2,29.8,8.6,6.4,12.3,19.2,120.5,25.1,31,51,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182
2024,Los Angeles Clippers 2024,Los Angeles Clippers,25,25 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,1400,0,2200,0,0,1,0,4,0.62195122,0.5,0.444444444,9,0.529411765,85,0.02,867,4,30.125,6.812,11,27,2.292,1.064,0.878,31,1.4375,7.3125,14.875,20.4375,24,0.007,1.677,0.0625,0.6875,1.25,1.5625,2.375,24.47791529,68.3273,1,42.4,86.7,0.489,12.6,33.2,0.381,29.7,53.5,0.555,18.3,22.2,0.825,10,32.9,43,25.6,7.8,5,13.1,18.5,115.6,41.6,88.9,0.468,12.9,35.4,0.363,28.8,53.5,0.538,16.2,21,0.775,11.1,31.1,42.2,26.4,7.3,4.7,13,18.7,112.3,30.4,51,31,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,0.541,11.7,74.8,0.183
2024,New Orleans Pelicans 2024,New Orleans Pelicans,33,33 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,6500,0,4000,0,0,1,0,6,0.597560976,0.528301887,0.5,16,0.4,6,0.002,205,0,5.5,0,0,0,0,0,1.548,2,0.8125,2,2.5625,4.9375,5.5,0,0,0,0.125,0.125,0.4375,0.4375,25.12078947,59.77,0,42.5,87.4,0.486,12.5,32.6,0.383,30,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44,27,8.3,4.6,13,18.4,115.1,40.5,87.3,0.464,13.5,38.7,0.349,26.9,48.5,0.555,16.2,20.7,0.783,10.1,32.2,42.3,26.8,6.5,5.2,14.2,18.4,110.7,26,49,33,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186
2024,Denver Nuggets 2024,Denver Nuggets,1,1 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,300,0,450,0,0,1,1,1,0.695121951,0.557692308,0.526315789,11,0.5,68,0.388,444,12,19.8125,2.738,2,8,0.678,0.078,0.802,6,10,12.3125,16.375,16.6875,19.125,2.51,2.738,1,1.3125,2.3125,2.3125,2.3125,28.15639353,105.42019,1,44,88.8,0.496,11.7,31.2,0.374,32.3,57.5,0.562,15.1,19.9,0.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9,40.6,87.9,0.462,11.2,31.5,0.355,29.4,56.4,0.522,17.1,22.2,0.772,10.9,31.4,42.3,25.7,7,4.8,12.4,17.9,109.6,27.1,57,25,54,28,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,0.526,11.2,75.6,0.195
2024,Philadelphia 76ers 2024,Philadelphia 76ers,2,2 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,1600,0,1800,0,0,1,0,5,0.573170732,0.446808511,0.444444444,8,0.588235294,41,0.952,548,3,21.125,2.254,5,5,0.427,0.026,0.205,5,3.75,9.9375,14.875,17.5,19.0625,2.201,2.25,0.4375,1.25,1.6875,2,2,22.51406684,81.69827,1,41.5,89.4,0.464,12.1,33.3,0.363,29.4,56.1,0.525,19.5,23.6,0.826,11,31.9,43,24.9,8.5,6,12,20.3,114.6,40.5,86.6,0.468,11.9,33.7,0.354,28.6,52.8,0.541,18.6,23.5,0.791,11,33.4,44.5,26.1,6.2,6.1,14.6,18.5,111.5,28.4,47,35,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215
2024,Houston Rockets 2024,Houston Rockets,31,31 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,999999,0,25000,0,0,0,0,11,0.5,0.384615385,0.363636364,9,0.476190476,24,0.092,256,2,9.875,0,1,0,0,0.127,0.026,1,1.625,4.5,6.8125,8.5625,9.3125,0,0,0,0,0.6875,1.8125,2.5,19.36767647,51.63,0,41.8,91,0.459,12.7,36.1,0.352,29,54.8,0.53,18.1,23.4,0.773,11.5,34,45.5,24.8,7.8,4.6,12.7,20.8,114.3,40.8,88.1,0.463,12.3,35.4,0.348,28.4,52.7,0.54,19.3,25.2,0.767,10.7,34.2,44.9,24.4,7.3,5.9,13.8,19.6,113.2,25.1,41,41,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99,0.257,0.397,0.565,0.529,11.2,25.1,0.199,0.533,12.2,76,0.219
2024,Washington Wizards 2024,Washington Wizards,19,19 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,999999,0,50000,0,0,0,0,14,0.182926829,0.078431373,0,1,0.3,5,0.047,311,3,11.38035714,0,0,0,0,0.721,0.275,0,1.5625,3.3125,5.1875,6.8125,7.25,0,0,0,0.0625,0.0625,0.625,1.375,-7.481166667,18.3585,0,43,91.4,0.47,12.4,35.5,0.348,30.6,55.8,0.548,15.4,20.2,0.764,9.2,31.9,41.1,27.9,7.6,5.1,14,20,113.7,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59,0.573,18.6,24,0.777,12.1,36.8,48.9,29,8,6,14,18,123,24.9,15,67,20,62,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201
2024,Minnesota Timberwolves 2024,Minnesota Timberwolves,27,27 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,1900,0,6600,0,0,1,1,3,0.682926829,0.62745098,0.6,14,0.571428571,11,0.008,302,1,9.375,0.01,7,6,3.933,0.006,0.576,8,0.9375,4.4375,6,7.6875,8.25,0.008,0.009,0.0625,0.1875,0.1875,0.25,0.25,30.15259118,70.323,0,41.3,85,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113,39,86.8,0.45,11.4,32.3,0.354,27.6,54.5,0.506,17.1,21.9,0.781,10.3,31.2,41.4,24.5,7.5,4.5,14.2,19.9,106.5,27.2,56,26,57,25,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,0.559,13,23.2,0.209,0.515,12.9,76.9,0.197
2024,New York Knicks 2024,New York Knicks,18,18 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,3300,0,5000,0,0,1,1,2,0.609756098,0.428571429,0.266666667,13,0.5,72,2.398,232,2,8.6875,0.021,1,2,0.016,0.134,1.251,2,2.625,6.25,7.375,8.5625,8.6875,0.021,0.021,0.375,0.4375,0.4375,0.4375,0.4375,25.51247921,79.913005,0,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8,40.3,85.7,0.47,12.5,34.3,0.365,27.8,51.4,0.54,15.1,19.8,0.764,10.2,30.4,40.6,25.6,6.7,5.3,13.2,19.1,108.2,26.4,50,32,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176
2024,Cleveland Cavaliers 2024,Cleveland Cavaliers,15,15 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,4200,0,2500,0,0,1,0,4,0.585365854,0.4375,0.4375,11,0.647058824,10,0.16,286,4,12,0.03,1,1,0.206,0.076,0.367,5,1.6875,4.75,6.25,11.125,12,0.03,0.03,0.0625,0.0625,0.0625,2.625,3.5,21.71877353,64.19465,0,41.8,87.2,0.479,13.5,36.8,0.367,28.3,50.4,0.561,15.6,20.4,0.765,9.8,33.4,43.3,28,7.4,4.6,13.6,17.5,112.6,40.5,87.5,0.463,12.5,33.8,0.371,28,53.7,0.521,16.6,21,0.791,10,32.6,42.7,25.3,7.7,5,13.6,18.7,110.2,26.2,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19
2024,Toronto Raptors 2024,Toronto Raptors,12,12 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,999999,0,8000,0,0,0,0,12,0.304878049,0.215686275,0.111111111,4,0.4,0,0,299,4,12.5625,0,0,0,0,0.754,0.213,0,2.1875,6.25,9,10.8125,12.3125,0,0,0,0.125,1.5625,2.6875,2.875,0.17725,32.077,0,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.7,28.5,7.7,4.7,14,18.4,112.4,44.7,91.2,0.491,13.7,36.3,0.376,31.1,54.8,0.567,15.6,19.8,0.789,11.2,34,45.2,28.6,7.3,5.8,13.9,18.1,118.8,25.9,25,57,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172
2024,Chicago Bulls 2024,Chicago Bulls,9,9 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,100000,0,12500,0,0,1,0,9,0.475609756,0.346153846,0.176470588,4,0.55,46,0.27,249,1,8.5,0.034,1,4,0.021,0.006,0.462,12,0.4375,3.8125,6.75,7.875,8.0625,0.001,0.001,0,0.0625,0.0625,0.1875,0.625,12.53475944,46.74167,0,42,89.5,0.47,11.5,32.1,0.358,30.6,57.4,0.532,16.7,21.1,0.791,11.2,32.6,43.8,25,7.8,4.8,12.2,18.8,112.3,41.1,87,0.473,14.6,39.5,0.37,26.5,47.5,0.558,16.9,21.8,0.776,10.1,33.3,43.4,27.9,6.8,4.9,14,18.8,113.7,28.1,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195
2024,San Antonio Spurs 2024,San Antonio Spurs,24,24 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,999999,0,15000,0,0,0,0,14,0.268292683,0.210526316,0.173913043,4,0.347826087,274,3.043,169,0,6.4375,0,0,0,0,0,0.1,0,0.5,2.9375,4.1875,6.4375,6.4375,0,0,0,0,0.1875,1.125,2.3125,2.411684211,39.5,0,41.9,90.7,0.462,12.6,36.4,0.347,29.3,54.3,0.539,15.6,20,0.782,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1,44.9,92.3,0.487,12.7,34,0.373,32.2,58.3,0.553,16,20.5,0.784,10.5,34.8,45.3,28,8.9,4.6,13.4,17.9,118.6,23,22,60,26,56,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174
2024,Orlando Magic 2024,Orlando Magic,17,17 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,16000,0,25000,0,0,1,0,5,0.573170732,0.404255319,0.411764706,7,0.476190476,0,0,91,0,2.6875,0,0,0,0,0.544,0.025,0,0.0625,0.4375,1.8125,2.6875,2.6875,0,0,0,0,0.125,0.125,0.125,17.82155556,48.36,0,40.5,84.9,0.476,11,31.3,0.352,29.5,53.6,0.549,18.5,24.4,0.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5,39.8,84,0.474,11.5,32.1,0.358,28.3,51.8,0.546,17.3,22.2,0.78,8.9,30.9,39.9,23.9,8.1,4.6,15,20.9,108.4,24,47,35,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206
2024,Brooklyn Nets 2024,Brooklyn Nets,10,10 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,999999,0,12500,0,0,0,0,11,0.390243902,0.254901961,0.111111111,7,0.409090909,8,0.032,326,0,9.75,0.003,3,1,1.056,1.101,0.174,2,1,5.75,7.3125,8.1875,9,0.003,0.003,0,0.4375,0.5,0.5,0.9375,8.051976905,31.096,0,40.7,89.1,0.456,13.3,36.7,0.362,27.4,52.4,0.522,15.8,20.9,0.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4,41.6,88.5,0.47,13,34.9,0.372,28.6,53.5,0.534,17.1,21.2,0.807,10.3,34,44.3,25.5,6.9,5,12.6,18.2,113.3,26.1,32,50,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193
2024,Miami Heat 2024,Miami Heat,13,13 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,4200,0,1600,0,0,1,0,8,0.56097561,0.422222222,0.066666667,6,0.526315789,184,0.979,527,2,22.5,0.085,9,7,0.419,1.412,2.162,9,7.5,11.8125,16.0625,20.75,22.0625,0.003,0.012,0.8125,1.5,2.375,2.875,3.6875,20.58585694,53.303085,0,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18,22,0.818,9.3,33,42.3,25.8,7.5,3.4,12.7,17.3,110.1,40.2,86,0.467,13,36.8,0.353,27.2,49.2,0.553,15,19.2,0.78,9.2,33.5,42.8,26.5,6.6,4.7,13.7,18.9,108.4,28,46,36,46,36,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174
2024,Detroit Pistons 2024,Detroit Pistons,28,28 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,999999,0,50000,0,0,0,0,15,0.170731707,0.039215686,0.066666667,0,0.1,56,1.618,204,0,7.5,0,0,0,0,0.006,0.028,0,2.0625,4.5,5.1875,5.5625,7.125,0,0,0,0,0,0,0,-7.37842,21.93,0,40.9,88.2,0.463,11,31.7,0.348,29.8,56.5,0.528,17,21.7,0.785,10.5,32.8,43.3,25.5,6.5,4.7,15.2,20.6,109.9,43.6,89,0.49,12.1,32.7,0.37,31.5,56.3,0.56,19.6,24.5,0.8,9.6,33.5,43.1,27,8.9,6,12.4,17.8,119,23.8,14,68,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221
